guid,true_label,pred_label,true_label_id,pred_label_id
4473,positive,negative,2,0
1615,positive,negative,2,0
2038,neutral,positive,1,2
3604,positive,negative,2,0
2456,positive,negative,2,0
5015,positive,negative,2,0
796,positive,negative,2,0
4567,positive,negative,2,0
294,positive,negative,2,0
4149,positive,negative,2,0
3420,negative,neutral,0,1
1760,positive,negative,2,0
3968,negative,positive,0,2
1119,positive,negative,2,0
4014,positive,negative,2,0
1424,positive,negative,2,0
1097,positive,negative,2,0
2102,neutral,negative,1,0
2134,positive,negative,2,0
1215,positive,negative,2,0
3764,positive,negative,2,0
115,positive,negative,2,0
4346,negative,positive,0,2
1091,positive,negative,2,0
3004,positive,negative,2,0
4676,positive,negative,2,0
3822,positive,negative,2,0
3656,negative,neutral,0,1
445,positive,negative,2,0
2110,neutral,positive,1,2
3635,positive,negative,2,0
3252,positive,negative,2,0
159,negative,positive,0,2
2898,negative,neutral,0,1
2108,positive,negative,2,0
284,positive,negative,2,0
2600,positive,negative,2,0
1550,positive,negative,2,0
667,negative,neutral,0,1
237,positive,negative,2,0
4286,positive,negative,2,0
1311,positive,negative,2,0
4729,positive,negative,2,0
1597,positive,negative,2,0
936,neutral,positive,1,2
4602,negative,neutral,0,1
3019,positive,negative,2,0
1015,positive,neutral,2,1
853,positive,negative,2,0
177,positive,neutral,2,1
2884,positive,neutral,2,1
830,negative,neutral,0,1
455,positive,negative,2,0
4183,negative,neutral,0,1
876,positive,negative,2,0
1841,negative,neutral,0,1
1019,positive,negative,2,0
3912,positive,neutral,2,1
3125,negative,positive,0,2
2514,negative,neutral,0,1
1329,positive,neutral,2,1
4042,positive,negative,2,0
2845,positive,negative,2,0
2790,neutral,positive,1,2
926,positive,neutral,2,1
2797,positive,neutral,2,1
506,positive,neutral,2,1
2985,neutral,negative,1,0
1984,positive,neutral,2,1
2761,neutral,negative,1,0
865,neutral,negative,1,0
4484,positive,negative,2,0
4259,positive,neutral,2,1
1582,positive,negative,2,0
1156,negative,neutral,0,1
1407,positive,negative,2,0
2583,positive,negative,2,0
182,positive,neutral,2,1
764,positive,neutral,2,1
3991,positive,negative,2,0
1815,positive,negative,2,0
461,negative,neutral,0,1
2101,positive,negative,2,0
3065,positive,neutral,2,1
233,positive,neutral,2,1
2043,positive,neutral,2,1
710,positive,neutral,2,1
1842,positive,neutral,2,1
2966,positive,neutral,2,1
590,positive,neutral,2,1
729,positive,neutral,2,1
4358,positive,negative,2,0
1011,positive,neutral,2,1
4249,positive,neutral,2,1
1334,positive,neutral,2,1
1328,positive,neutral,2,1
4727,positive,negative,2,0
1995,positive,neutral,2,1
3113,positive,negative,2,0
4651,positive,negative,2,0
3504,positive,neutral,2,1
2773,positive,neutral,2,1
1326,positive,negative,2,0
4426,positive,negative,2,0
1786,positive,neutral,2,1
4743,positive,negative,2,0
1628,positive,neutral,2,1
765,positive,neutral,2,1
1889,positive,neutral,2,1
2436,positive,neutral,2,1
2592,positive,negative,2,0
2612,positive,neutral,2,1
3275,positive,negative,2,0
183,positive,neutral,2,1
1419,neutral,negative,1,0
2937,neutral,positive,1,2
725,positive,neutral,2,1
4495,positive,neutral,2,1
607,positive,negative,2,0
3350,positive,neutral,2,1
4212,positive,neutral,2,1
2376,positive,negative,2,0
4649,positive,negative,2,0
3338,positive,neutral,2,1
3576,positive,negative,2,0
3024,positive,neutral,2,1
3467,positive,negative,2,0
1637,positive,neutral,2,1
4650,neutral,negative,1,0
4186,neutral,positive,1,2
1828,positive,neutral,2,1
771,positive,neutral,2,1
1077,positive,neutral,2,1
2541,positive,neutral,2,1
277,positive,neutral,2,1
24,neutral,negative,1,0
2470,positive,negative,2,0
2603,negative,neutral,0,1
2349,positive,neutral,2,1
4092,neutral,negative,1,0
3088,positive,negative,2,0
2093,positive,neutral,2,1
2560,positive,neutral,2,1
228,positive,neutral,2,1
3718,positive,negative,2,0
243,neutral,positive,1,2
1005,negative,positive,0,2
4499,positive,negative,2,0
3527,positive,negative,2,0
3808,neutral,positive,1,2
3365,negative,positive,0,2
1267,positive,negative,2,0
736,positive,neutral,2,1
1063,positive,neutral,2,1
953,positive,negative,2,0
4310,positive,neutral,2,1
1272,positive,neutral,2,1
2501,positive,neutral,2,1
4962,positive,negative,2,0
2453,neutral,negative,1,0
53,positive,negative,2,0
1813,positive,negative,2,0
2794,negative,neutral,0,1
2656,positive,negative,2,0
1787,positive,negative,2,0
3159,neutral,negative,1,0
728,positive,neutral,2,1
2783,negative,positive,0,2
3055,negative,positive,0,2
441,positive,negative,2,0
4751,positive,negative,2,0
2659,positive,negative,2,0
3141,negative,positive,0,2
3501,negative,positive,0,2
244,positive,negative,2,0
4672,positive,neutral,2,1
4749,positive,neutral,2,1
4988,positive,negative,2,0
2899,negative,positive,0,2
3768,negative,neutral,0,1
3491,negative,neutral,0,1
4730,positive,neutral,2,1
2941,positive,neutral,2,1
2106,positive,negative,2,0
3857,positive,neutral,2,1
4883,positive,neutral,2,1
1144,neutral,negative,1,0
4491,positive,neutral,2,1
4490,positive,neutral,2,1
687,negative,neutral,0,1
299,positive,neutral,2,1
1688,positive,negative,2,0
4849,negative,positive,0,2
82,positive,neutral,2,1
3389,positive,neutral,2,1
2626,positive,neutral,2,1
3939,positive,negative,2,0
3267,neutral,positive,1,2
328,positive,neutral,2,1
3990,positive,negative,2,0
621,neutral,positive,1,2
1400,neutral,positive,1,2
3334,positive,neutral,2,1
2728,neutral,negative,1,0
4078,positive,neutral,2,1
1676,negative,neutral,0,1
5091,positive,neutral,2,1
1515,negative,neutral,0,1
3212,neutral,positive,1,2
1320,positive,negative,2,0
3829,neutral,negative,1,0
3929,positive,neutral,2,1
1008,positive,neutral,2,1
2953,positive,negative,2,0
763,positive,neutral,2,1
2665,neutral,negative,1,0
3155,negative,neutral,0,1
155,neutral,negative,1,0
4863,neutral,positive,1,2
3716,positive,neutral,2,1
1608,positive,neutral,2,1
1090,negative,neutral,0,1
3826,negative,positive,0,2
3245,positive,neutral,2,1
3643,positive,neutral,2,1
732,negative,positive,0,2
3299,neutral,negative,1,0
4761,positive,neutral,2,1
3509,negative,positive,0,2
1236,positive,neutral,2,1
4586,positive,neutral,2,1
4068,positive,neutral,2,1
1921,positive,neutral,2,1
3852,positive,negative,2,0
3092,negative,neutral,0,1
3423,positive,neutral,2,1
2360,negative,neutral,0,1
727,negative,neutral,0,1
3980,negative,neutral,0,1
3050,negative,positive,0,2
4509,positive,neutral,2,1
4470,negative,positive,0,2
5064,negative,neutral,0,1
1261,neutral,negative,1,0
2830,positive,neutral,2,1
385,negative,neutral,0,1
773,positive,negative,2,0
181,neutral,positive,1,2
4067,negative,neutral,0,1
4355,negative,neutral,0,1
984,neutral,positive,1,2
2900,positive,negative,2,0
2431,positive,neutral,2,1
3497,positive,neutral,2,1
3480,negative,positive,0,2
4382,positive,negative,2,0
1151,positive,neutral,2,1
3347,negative,neutral,0,1
3522,negative,positive,0,2
1526,negative,positive,0,2
1727,positive,neutral,2,1
97,negative,positive,0,2
4722,positive,negative,2,0
3585,negative,positive,0,2
305,positive,neutral,2,1
1621,positive,neutral,2,1
1698,negative,neutral,0,1
3060,negative,neutral,0,1
3357,positive,neutral,2,1
905,neutral,positive,1,2
989,positive,neutral,2,1
790,positive,negative,2,0
336,positive,neutral,2,1
3878,negative,neutral,0,1
651,positive,neutral,2,1
4540,positive,neutral,2,1
470,positive,negative,2,0
4543,negative,neutral,0,1
4197,negative,neutral,0,1
2159,positive,neutral,2,1
1367,negative,neutral,0,1
819,negative,neutral,0,1
1964,neutral,negative,1,0
1734,negative,neutral,0,1
1283,positive,negative,2,0
330,neutral,negative,1,0
267,positive,negative,2,0
4240,positive,negative,2,0
2701,positive,neutral,2,1
1375,negative,neutral,0,1
1860,positive,negative,2,0
1670,negative,neutral,0,1
855,positive,neutral,2,1
4526,positive,negative,2,0
1190,positive,neutral,2,1
2819,positive,neutral,2,1
4503,positive,negative,2,0
1313,positive,negative,2,0
