guid,true_label,pred_label,true_label_id,pred_label_id
3275,positive,neutral,2,1
333,negative,positive,0,2
183,positive,negative,2,0
1419,neutral,negative,1,0
725,positive,neutral,2,1
4495,positive,neutral,2,1
607,positive,negative,2,0
3350,positive,neutral,2,1
3831,negative,positive,0,2
4212,positive,negative,2,0
4649,positive,negative,2,0
3338,positive,neutral,2,1
3576,positive,neutral,2,1
3024,positive,neutral,2,1
4823,negative,positive,0,2
541,positive,neutral,2,1
3467,positive,neutral,2,1
1637,positive,neutral,2,1
2879,positive,neutral,2,1
4650,neutral,negative,1,0
3524,negative,positive,0,2
937,negative,neutral,0,1
771,positive,neutral,2,1
1077,positive,neutral,2,1
591,neutral,negative,1,0
277,positive,negative,2,0
24,neutral,negative,1,0
2603,negative,neutral,0,1
2349,positive,negative,2,0
4092,neutral,negative,1,0
2093,positive,neutral,2,1
2560,positive,neutral,2,1
228,positive,neutral,2,1
1693,negative,neutral,0,1
3718,positive,neutral,2,1
3405,negative,positive,0,2
2080,positive,negative,2,0
243,neutral,negative,1,0
1005,negative,positive,0,2
1748,positive,neutral,2,1
2776,positive,neutral,2,1
280,negative,positive,0,2
1314,positive,neutral,2,1
41,negative,neutral,0,1
86,positive,negative,2,0
4897,positive,neutral,2,1
3365,negative,neutral,0,1
1267,positive,neutral,2,1
1389,negative,neutral,0,1
1063,positive,neutral,2,1
613,positive,negative,2,0
1272,positive,neutral,2,1
2775,positive,neutral,2,1
2501,positive,neutral,2,1
2453,neutral,negative,1,0
53,positive,neutral,2,1
1505,positive,neutral,2,1
1813,positive,neutral,2,1
2794,negative,positive,0,2
5121,positive,neutral,2,1
2656,positive,neutral,2,1
1787,positive,neutral,2,1
3159,neutral,positive,1,2
728,positive,negative,2,0
2686,positive,negative,2,0
2783,negative,neutral,0,1
3055,negative,positive,0,2
3877,positive,neutral,2,1
441,positive,neutral,2,1
3150,negative,positive,0,2
4435,negative,neutral,0,1
4929,negative,positive,0,2
2659,positive,neutral,2,1
3141,negative,neutral,0,1
3307,negative,positive,0,2
3501,negative,positive,0,2
2645,negative,positive,0,2
244,positive,neutral,2,1
1142,negative,neutral,0,1
4672,positive,neutral,2,1
4749,positive,neutral,2,1
2899,negative,positive,0,2
3491,negative,positive,0,2
4332,negative,neutral,0,1
4730,positive,neutral,2,1
2106,positive,negative,2,0
2491,positive,neutral,2,1
2633,negative,neutral,0,1
2817,negative,positive,0,2
3452,negative,neutral,0,1
3857,positive,neutral,2,1
3489,positive,neutral,2,1
4854,negative,positive,0,2
1144,neutral,negative,1,0
1078,negative,neutral,0,1
4491,positive,neutral,2,1
3649,positive,neutral,2,1
687,negative,neutral,0,1
1688,positive,neutral,2,1
4849,negative,neutral,0,1
2575,positive,neutral,2,1
292,positive,neutral,2,1
1355,positive,neutral,2,1
3938,negative,positive,0,2
2887,negative,neutral,0,1
3288,positive,negative,2,0
4157,negative,neutral,0,1
2478,negative,positive,0,2
82,positive,neutral,2,1
3389,positive,negative,2,0
2626,positive,negative,2,0
3939,positive,neutral,2,1
3267,neutral,negative,1,0
4057,negative,positive,0,2
274,positive,neutral,2,1
328,positive,neutral,2,1
3990,positive,negative,2,0
621,neutral,positive,1,2
2561,neutral,positive,1,2
1400,neutral,positive,1,2
3334,positive,neutral,2,1
4013,negative,neutral,0,1
4078,positive,negative,2,0
1322,positive,neutral,2,1
270,positive,neutral,2,1
5091,positive,neutral,2,1
2673,negative,positive,0,2
1515,negative,positive,0,2
3212,neutral,positive,1,2
1320,positive,neutral,2,1
4002,negative,neutral,0,1
5117,negative,neutral,0,1
3929,positive,negative,2,0
1008,positive,neutral,2,1
2663,negative,positive,0,2
1736,positive,neutral,2,1
5016,positive,neutral,2,1
2953,positive,negative,2,0
111,positive,negative,2,0
95,positive,neutral,2,1
763,positive,neutral,2,1
2730,neutral,positive,1,2
3155,negative,positive,0,2
3866,neutral,negative,1,0
4077,positive,neutral,2,1
782,negative,positive,0,2
2042,positive,negative,2,0
155,neutral,negative,1,0
4863,neutral,negative,1,0
3716,positive,negative,2,0
574,negative,neutral,0,1
1608,positive,neutral,2,1
3715,positive,negative,2,0
658,positive,negative,2,0
1090,negative,neutral,0,1
3826,negative,positive,0,2
4300,negative,positive,0,2
341,positive,negative,2,0
3245,positive,neutral,2,1
4959,positive,neutral,2,1
188,negative,positive,0,2
510,positive,neutral,2,1
3643,positive,negative,2,0
4761,positive,negative,2,0
1704,positive,negative,2,0
3509,negative,neutral,0,1
5033,positive,neutral,2,1
411,positive,neutral,2,1
1236,positive,neutral,2,1
4586,positive,neutral,2,1
5077,negative,neutral,0,1
4068,positive,neutral,2,1
1921,positive,neutral,2,1
3852,positive,neutral,2,1
3092,negative,positive,0,2
3007,negative,neutral,0,1
3911,positive,neutral,2,1
3423,positive,neutral,2,1
2360,negative,positive,0,2
727,negative,positive,0,2
3050,negative,neutral,0,1
4509,positive,negative,2,0
4470,negative,positive,0,2
2056,neutral,positive,1,2
2830,positive,neutral,2,1
773,positive,negative,2,0
1109,positive,negative,2,0
2778,positive,neutral,2,1
181,neutral,negative,1,0
2901,positive,neutral,2,1
4067,negative,positive,0,2
620,positive,negative,2,0
984,neutral,positive,1,2
889,positive,neutral,2,1
3497,positive,negative,2,0
3480,negative,positive,0,2
4382,positive,neutral,2,1
3347,negative,positive,0,2
3522,negative,positive,0,2
1526,negative,neutral,0,1
97,negative,neutral,0,1
3585,negative,positive,0,2
3030,positive,neutral,2,1
1621,positive,neutral,2,1
3799,positive,neutral,2,1
4659,positive,neutral,2,1
1698,negative,neutral,0,1
3329,neutral,positive,1,2
4269,negative,neutral,0,1
3357,positive,negative,2,0
579,positive,neutral,2,1
4682,positive,negative,2,0
4787,positive,negative,2,0
4075,positive,neutral,2,1
484,negative,neutral,0,1
329,positive,negative,2,0
1507,negative,positive,0,2
989,positive,neutral,2,1
336,positive,neutral,2,1
3878,negative,positive,0,2
3784,negative,positive,0,2
651,positive,neutral,2,1
1891,negative,positive,0,2
498,positive,negative,2,0
470,positive,neutral,2,1
4197,negative,neutral,0,1
2159,positive,neutral,2,1
1367,negative,neutral,0,1
1964,neutral,positive,1,2
1128,positive,negative,2,0
4027,positive,negative,2,0
1734,negative,positive,0,2
2753,positive,neutral,2,1
1283,positive,neutral,2,1
330,neutral,positive,1,2
267,positive,neutral,2,1
2701,positive,negative,2,0
339,positive,negative,2,0
1375,negative,neutral,0,1
1860,positive,neutral,2,1
855,positive,neutral,2,1
4526,positive,neutral,2,1
2819,positive,negative,2,0
325,positive,neutral,2,1
1313,positive,neutral,2,1
