guid,true_label,pred_label,true_label_id,pred_label_id,text_weight,image_weight
473,negative,positive,0,2,0.5297162532806396,0.47028377652168274
2584,negative,positive,0,2,0.5334371328353882,0.4665628671646118
1390,neutral,positive,1,2,0.5318142771720886,0.4681857228279114
2661,positive,negative,2,0,0.5326775312423706,0.4673224985599518
580,neutral,positive,1,2,0.5301865339279175,0.4698134660720825
3319,positive,neutral,2,1,0.5131930112838745,0.4868070185184479
1041,positive,neutral,2,1,0.528454601764679,0.47154539823532104
694,positive,negative,2,0,0.5294325351715088,0.4705674350261688
452,negative,positive,0,2,0.5378967523574829,0.4621032178401947
878,positive,negative,2,0,0.5271797776222229,0.4728202223777771
4001,negative,positive,0,2,0.5127049684524536,0.487295001745224
2013,negative,positive,0,2,0.5391733646392822,0.4608266055583954
3164,negative,positive,0,2,0.5252012014389038,0.4747987687587738
2928,positive,neutral,2,1,0.5173964500427246,0.4826035499572754
14,positive,negative,2,0,0.5345109701156616,0.46548905968666077
1231,positive,negative,2,0,0.5215569734573364,0.4784429967403412
2865,negative,positive,0,2,0.5279083251953125,0.4720917046070099
545,positive,negative,2,0,0.5335354804992676,0.46646448969841003
536,positive,negative,2,0,0.5323783159255981,0.46762165427207947
2005,neutral,negative,1,0,0.5321301221847534,0.46786990761756897
777,positive,negative,2,0,0.528085470199585,0.47191449999809265
544,positive,negative,2,0,0.533199667930603,0.46680036187171936
3361,positive,negative,2,0,0.5291963815689087,0.4708036482334137
4221,positive,negative,2,0,0.5275494456291199,0.4724505543708801
3091,positive,neutral,2,1,0.522903323173523,0.47709670662879944
3614,positive,neutral,2,1,0.5202338099479675,0.47976619005203247
4940,positive,negative,2,0,0.5296003818511963,0.4703996181488037
788,neutral,positive,1,2,0.5263882279396057,0.4736117720603943
3689,neutral,positive,1,2,0.5228050947189331,0.4771949350833893
110,negative,positive,0,2,0.5241145491600037,0.47588545083999634
4179,positive,negative,2,0,0.5274665355682373,0.4725334346294403
2739,positive,neutral,2,1,0.5207535028457642,0.47924649715423584
1810,positive,negative,2,0,0.527131199836731,0.47286882996559143
2763,negative,neutral,0,1,0.5170940160751343,0.4829059839248657
2707,positive,neutral,2,1,0.5183653235435486,0.4816346764564514
4965,positive,negative,2,0,0.5203005075454712,0.4796994626522064
807,positive,neutral,2,1,0.513109564781189,0.48689043521881104
2086,positive,negative,2,0,0.531649649143219,0.468350350856781
3704,positive,negative,2,0,0.5330042839050293,0.4669956862926483
3558,positive,negative,2,0,0.5309624075889587,0.46903759241104126
1711,positive,negative,2,0,0.5323008298873901,0.46769919991493225
3673,neutral,positive,1,2,0.5296329855918884,0.4703670144081116
5103,positive,negative,2,0,0.536137580871582,0.4638623893260956
2363,negative,positive,0,2,0.5248582363128662,0.4751417636871338
2729,positive,negative,2,0,0.5290746688842773,0.47092533111572266
2862,neutral,positive,1,2,0.5254608988761902,0.4745391011238098
927,neutral,negative,1,0,0.5297840237617493,0.47021597623825073
3712,positive,neutral,2,1,0.5238587856292725,0.47614118456840515
3333,neutral,positive,1,2,0.531363844871521,0.4686361253261566
618,neutral,positive,1,2,0.520557165145874,0.479442834854126
602,negative,neutral,0,1,0.5254750847816467,0.47452491521835327
2038,neutral,positive,1,2,0.5260868072509766,0.47391316294670105
1561,negative,positive,0,2,0.5293448567390442,0.4706551432609558
3968,negative,neutral,0,1,0.5259522795677185,0.4740477204322815
1288,negative,positive,0,2,0.53261798620224,0.46738201379776
1520,negative,positive,0,2,0.539040207862854,0.460959792137146
5025,negative,positive,0,2,0.5333441495895386,0.4666558802127838
30,negative,positive,0,2,0.532568097114563,0.4674318730831146
2102,neutral,positive,1,2,0.5369900465011597,0.46300992369651794
3797,neutral,positive,1,2,0.5329889059066772,0.46701106429100037
4824,negative,positive,0,2,0.5293664932250977,0.47063347697257996
4346,negative,neutral,0,1,0.5325851440429688,0.46741482615470886
3004,positive,neutral,2,1,0.5195159316062927,0.4804840683937073
3822,positive,negative,2,0,0.5376548767089844,0.46234509348869324
1710,negative,positive,0,2,0.5287641286849976,0.47123590111732483
2110,neutral,negative,1,0,0.5241498947143555,0.4758501350879669
1900,positive,negative,2,0,0.5271834135055542,0.4728165864944458
4131,positive,neutral,2,1,0.5246936082839966,0.47530636191368103
2108,positive,negative,2,0,0.526040256023407,0.473959743976593
920,negative,positive,0,2,0.532512903213501,0.467487096786499
237,positive,negative,2,0,0.5280429124832153,0.4719570577144623
4286,positive,negative,2,0,0.5274934768676758,0.4725065529346466
1311,positive,neutral,2,1,0.5195137858390808,0.4804862141609192
936,neutral,positive,1,2,0.5312021970748901,0.46879780292510986
4602,negative,positive,0,2,0.5408922433853149,0.45910778641700745
720,neutral,negative,1,0,0.5378243923187256,0.4621756374835968
1015,positive,negative,2,0,0.528688371181488,0.47131162881851196
177,positive,negative,2,0,0.5329610109329224,0.46703898906707764
2884,positive,negative,2,0,0.5283011198043823,0.4716988801956177
4183,negative,positive,0,2,0.5250016450881958,0.4749983251094818
876,positive,negative,2,0,0.5418699979782104,0.45813000202178955
3125,negative,positive,0,2,0.5350568294525146,0.46494317054748535
2514,negative,positive,0,2,0.5366157293319702,0.4633842408657074
2845,positive,negative,2,0,0.5280752182006836,0.4719248116016388
2985,neutral,negative,1,0,0.523971438407898,0.47602853178977966
865,neutral,negative,1,0,0.5275111198425293,0.4724889099597931
1156,negative,positive,0,2,0.5421899557113647,0.45781007409095764
1407,positive,negative,2,0,0.5254253149032593,0.47457465529441833
4816,negative,positive,0,2,0.5258389711380005,0.4741610586643219
3991,positive,neutral,2,1,0.5235196352005005,0.4764803349971771
1815,positive,negative,2,0,0.5313069820404053,0.4686930477619171
2101,positive,negative,2,0,0.5279676914215088,0.4720323085784912
3065,positive,neutral,2,1,0.5341325998306274,0.46586740016937256
2966,positive,negative,2,0,0.5345214605331421,0.4654785096645355
4358,positive,negative,2,0,0.5307323932647705,0.4692676067352295
119,negative,positive,0,2,0.5353206396102905,0.46467939019203186
4606,negative,positive,0,2,0.531790018081665,0.4682099521160126
3113,positive,negative,2,0,0.5311066508293152,0.4688933491706848
4426,positive,negative,2,0,0.5292420387268066,0.47075799107551575
1264,negative,positive,0,2,0.5342902541160583,0.46570974588394165
4743,positive,negative,2,0,0.5260614156723022,0.47393861413002014
333,negative,positive,0,2,0.5273906588554382,0.47260934114456177
1419,neutral,negative,1,0,0.5266772508621216,0.4733227491378784
1122,negative,neutral,0,1,0.518160343170166,0.481839656829834
2879,positive,neutral,2,1,0.5290349721908569,0.4709649980068207
4650,neutral,negative,1,0,0.5377926826477051,0.4622073173522949
771,positive,negative,2,0,0.5225965976715088,0.4774034023284912
591,neutral,positive,1,2,0.5293912887573242,0.4706087112426758
24,neutral,negative,1,0,0.5303316116333008,0.4696683883666992
2603,negative,neutral,0,1,0.5188933610916138,0.48110663890838623
4092,neutral,negative,1,0,0.5258655548095703,0.4741344749927521
3718,positive,negative,2,0,0.5314279794692993,0.4685719907283783
3808,neutral,positive,1,2,0.5274176597595215,0.4725823402404785
3365,negative,positive,0,2,0.5300508737564087,0.4699491262435913
1267,positive,negative,2,0,0.5304328203201294,0.469567209482193
2453,neutral,positive,1,2,0.5293282270431519,0.47067177295684814
53,positive,neutral,2,1,0.5255522727966309,0.47444772720336914
2794,negative,positive,0,2,0.526944637298584,0.4730553925037384
5121,positive,neutral,2,1,0.5179466009140015,0.48205336928367615
1787,positive,negative,2,0,0.5304623246192932,0.4695376753807068
3159,neutral,negative,1,0,0.525444507598877,0.47455546259880066
2783,negative,positive,0,2,0.52305006980896,0.47694990038871765
441,positive,negative,2,0,0.5327006578445435,0.46729934215545654
4751,positive,negative,2,0,0.5125010013580322,0.4874989986419678
3501,negative,positive,0,2,0.5347354412078857,0.46526458859443665
244,positive,neutral,2,1,0.524706244468689,0.47529375553131104
4988,positive,negative,2,0,0.5242680311203003,0.4757319390773773
3768,negative,positive,0,2,0.524848461151123,0.47515150904655457
3491,negative,positive,0,2,0.5260230302810669,0.4739769995212555
2106,positive,negative,2,0,0.5306963920593262,0.46930357813835144
3489,positive,neutral,2,1,0.521143913269043,0.47885605692863464
1144,neutral,negative,1,0,0.5277940034866333,0.4722059965133667
3649,positive,neutral,2,1,0.5234440565109253,0.4765559136867523
687,negative,positive,0,2,0.5317612290382385,0.4682387709617615
1688,positive,neutral,2,1,0.5195137858390808,0.4804862141609192
4849,negative,positive,0,2,0.5205439329147339,0.4794560968875885
2575,positive,negative,2,0,0.5373193025588989,0.4626806676387787
2747,negative,positive,0,2,0.5271492004394531,0.47285082936286926
3939,positive,negative,2,0,0.5291974544525146,0.47080257534980774
3267,neutral,positive,1,2,0.5249011516571045,0.4750988781452179
3990,positive,negative,2,0,0.5259699821472168,0.4740300178527832
621,neutral,negative,1,0,0.5291523933410645,0.47084757685661316
985,neutral,positive,1,2,0.5275033116340637,0.4724966883659363
1400,neutral,negative,1,0,0.5317527651786804,0.4682472348213196
1676,negative,positive,0,2,0.5315121412277222,0.46848782896995544
1515,negative,positive,0,2,0.5308414101600647,0.4691585898399353
3212,neutral,positive,1,2,0.5273438692092896,0.47265610098838806
1320,positive,negative,2,0,0.5309263467788696,0.46907368302345276
3829,neutral,negative,1,0,0.5313861966133118,0.46861380338668823
1008,positive,negative,2,0,0.530331015586853,0.46966901421546936
2953,positive,negative,2,0,0.5238327383995056,0.4761672616004944
2665,neutral,positive,1,2,0.5378063917160034,0.4621935784816742
3155,negative,positive,0,2,0.5231209397315979,0.4768790602684021
2042,positive,neutral,2,1,0.53316730260849,0.46683269739151
155,neutral,negative,1,0,0.5296903252601624,0.47030967473983765
4863,neutral,positive,1,2,0.5292916297912598,0.47070834040641785
3716,positive,neutral,2,1,0.5259803533554077,0.4740196466445923
1608,positive,negative,2,0,0.530371367931366,0.46962863206863403
1090,negative,positive,0,2,0.5292224884033203,0.4707775413990021
3643,positive,neutral,2,1,0.5188753604888916,0.4811246395111084
732,negative,positive,0,2,0.5181246995925903,0.4818752706050873
3299,neutral,negative,1,0,0.5320485830307007,0.46795138716697693
4586,positive,neutral,2,1,0.5230210423469543,0.47697895765304565
4068,positive,negative,2,0,0.5300373435020447,0.4699626564979553
3852,positive,negative,2,0,0.5277760028839111,0.47222399711608887
5018,positive,negative,2,0,0.5322351455688477,0.46776482462882996
3423,positive,negative,2,0,0.5297553539276123,0.4702446758747101
2360,negative,positive,0,2,0.5329979658126831,0.4670020341873169
3050,negative,positive,0,2,0.5314861536026001,0.4685138165950775
4470,negative,positive,0,2,0.5360857844352722,0.4639142155647278
2056,neutral,positive,1,2,0.5209973454475403,0.4790026545524597
1261,neutral,negative,1,0,0.5281714200973511,0.4718285799026489
181,neutral,positive,1,2,0.5314898490905762,0.46851012110710144
984,neutral,positive,1,2,0.5293921232223511,0.4706078767776489
2900,positive,negative,2,0,0.5297729969024658,0.4702270030975342
4382,positive,negative,2,0,0.5205172300338745,0.4794827401638031
3347,negative,neutral,0,1,0.5362104177474976,0.46378955245018005
1526,negative,positive,0,2,0.5298557281494141,0.47014424204826355
1727,positive,neutral,2,1,0.5215247869491577,0.4784751832485199
97,negative,positive,0,2,0.5308403968811035,0.4691595733165741
3060,negative,positive,0,2,0.5296710729598999,0.4703289270401001
3357,positive,negative,2,0,0.5335074663162231,0.46649250388145447
905,neutral,negative,1,0,0.5295342803001404,0.4704657196998596
2015,negative,positive,0,2,0.5344247817993164,0.465575248003006
790,positive,negative,2,0,0.5344109535217285,0.46558907628059387
3878,negative,positive,0,2,0.5231608152389526,0.476839154958725
3784,negative,positive,0,2,0.536826491355896,0.4631734788417816
4540,positive,neutral,2,1,0.5156360864639282,0.48436394333839417
3943,negative,positive,0,2,0.5324788689613342,0.46752113103866577
2159,positive,negative,2,0,0.5290691256523132,0.47093087434768677
856,negative,positive,0,2,0.5356861352920532,0.4643138647079468
1964,neutral,positive,1,2,0.5239171981811523,0.47608283162117004
330,neutral,positive,1,2,0.5292928218841553,0.4707071781158447
267,positive,negative,2,0,0.5295499563217163,0.4704500436782837
2701,positive,neutral,2,1,0.5183653235435486,0.4816346764564514
855,positive,neutral,2,1,0.5261144042015076,0.47388559579849243
1190,positive,negative,2,0,0.5267454385757446,0.47325459122657776
2819,positive,negative,2,0,0.533589243888855,0.4664107859134674
